mes_inicio;provincia_origen;provincia_destino;viajes;viajeros;edicion
2021-01;Ciudad Aut¢noma de Buenos Aires;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;859;2152;previaje 1
2021-01;Ciudad Aut¢noma de Buenos Aires;Tucum n;83;204;previaje 1
2021-01;C¢rdoba;Buenos Aires;521;1601;previaje 1
2021-01;C¢rdoba;Chaco;6;19;previaje 1
2021-01;C¢rdoba;Chubut;59;157;previaje 1
2021-01;C¢rdoba;Ciudad Aut¢noma de Buenos Aires;62;115;previaje 1
2021-01;C¢rdoba;C¢rdoba;1643;5992;previaje 1
2021-01;C¢rdoba;Corrientes;7;30;previaje 1
2021-01;C¢rdoba;Entre R¡os;38;114;previaje 1
2021-01;C¢rdoba;Jujuy;38;80;previaje 1
2021-01;C¢rdoba;La Pampa;7;27;previaje 1
2021-01;C¢rdoba;La Rioja;3;10;previaje 1
2021-01;C¢rdoba;Mendoza;142;452;previaje 1
2021-01;C¢rdoba;Misiones;202;599;previaje 1
2021-01;C¢rdoba;Neuqu‚n;181;625;previaje 1
2021-01;C¢rdoba;R¡o Negro;809;2360;previaje 1
2021-01;C¢rdoba;Salta;101;241;previaje 1
2021-01;C¢rdoba;San Juan;3;14;previaje 1
2021-01;C¢rdoba;San Luis;59;182;previaje 1
2021-01;C¢rdoba;Santa Cruz;343;956;previaje 1
2021-01;C¢rdoba;Santa Fe;18;58;previaje 1
2021-01;C¢rdoba;Santiago del Estero;32;108;previaje 1
2021-01;C¢rdoba;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;374;963;previaje 1
2021-01;C¢rdoba;Tucum n;7;21;previaje 1
2021-01;Corrientes;Buenos Aires;9;19;previaje 1
2021-01;Corrientes;Ciudad Aut¢noma de Buenos Aires;5;7;previaje 1
2021-01;Corrientes;C¢rdoba;7;29;previaje 1
2021-01;Corrientes;Corrientes;15;46;previaje 1
2021-01;Corrientes;Mendoza;9;34;previaje 1
2021-01;Corrientes;Misiones;8;24;previaje 1
2021-01;Corrientes;Neuqu‚n;7;23;previaje 1
2021-01;Corrientes;R¡o Negro;26;94;previaje 1
2021-01;Corrientes;Santa Cruz;8;19;previaje 1
2021-01;Corrientes;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;8;24;previaje 1
2021-01;Entre R¡os;Buenos Aires;93;282;previaje 1
2021-01;Entre R¡os;Chubut;15;25;previaje 1
2021-01;Entre R¡os;Ciudad Aut¢noma de Buenos Aires;6;10;previaje 1
2021-01;Entre R¡os;C¢rdoba;98;349;previaje 1
2021-01;Entre R¡os;Corrientes;4;15;previaje 1
2021-01;Entre R¡os;Entre R¡os;94;345;previaje 1
2021-01;Entre R¡os;Jujuy;9;26;previaje 1
2021-01;Entre R¡os;Mendoza;52;127;previaje 1
2021-01;Entre R¡os;Misiones;21;66;previaje 1
2021-01;Entre R¡os;Neuqu‚n;21;65;previaje 1
2021-01;Entre R¡os;R¡o Negro;141;408;previaje 1
2021-01;Entre R¡os;Salta;11;33;previaje 1
2021-01;Entre R¡os;San Luis;18;38;previaje 1
2021-01;Entre R¡os;Santa Cruz;35;113;previaje 1
2021-01;Entre R¡os;Santa Fe;5;13;previaje 1
2021-01;Entre R¡os;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;38;151;previaje 1
2021-01;Jujuy;Buenos Aires;49;145;previaje 1
2021-01;Jujuy;Chubut;3;8;previaje 1
2021-01;Jujuy;Ciudad Aut¢noma de Buenos Aires;23;51;previaje 1
2021-01;Jujuy;C¢rdoba;29;66;previaje 1
2021-01;Jujuy;Corrientes;3;14;previaje 1
2021-01;Jujuy;Jujuy;26;91;previaje 1
2021-01;Jujuy;Mendoza;3;5;previaje 1
2021-01;Jujuy;Misiones;16;42;previaje 1
2021-01;Jujuy;R¡o Negro;10;27;previaje 1
2021-01;Jujuy;Salta;20;54;previaje 1
2021-01;Jujuy;San Juan;5;15;previaje 1
2021-01;Jujuy;Santa Cruz;14;54;previaje 1
2021-01;Jujuy;Santiago del Estero;8;29;previaje 1
2021-01;Jujuy;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;6;10;previaje 1
2021-01;La Pampa;Buenos Aires;12;39;previaje 1
2021-01;La Pampa;Ciudad Aut¢noma de Buenos Aires;3;4;previaje 1
2021-01;La Pampa;C¢rdoba;10;34;previaje 1
2021-01;La Pampa;Mendoza;5;26;previaje 1
2021-01;La Pampa;Neuqu‚n;9;26;previaje 1
2021-01;La Pampa;R¡o Negro;6;23;previaje 1
2021-01;La Pampa;Santa Cruz;3;4;previaje 1
2021-01;La Pampa;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;4;8;previaje 1
2021-01;La Rioja;Buenos Aires;45;136;previaje 1
2021-01;La Rioja;Ciudad Aut¢noma de Buenos Aires;14;34;previaje 1
2021-01;La Rioja;C¢rdoba;41;150;previaje 1
2021-01;La Rioja;La Rioja;12;36;previaje 1
2021-01;La Rioja;Mendoza;4;20;previaje 1
2021-01;La Rioja;Misiones;8;36;previaje 1
2021-01;La Rioja;Neuqu‚n;6;19;previaje 1
2021-01;La Rioja;R¡o Negro;4;14;previaje 1
2021-01;Mendoza;Buenos Aires;421;1249;previaje 1
2021-01;Mendoza;Chubut;18;53;previaje 1
2021-01;Mendoza;Ciudad Aut¢noma de Buenos Aires;37;82;previaje 1
2021-01;Mendoza;C¢rdoba;143;495;previaje 1
2021-01;Mendoza;Corrientes;3;6;previaje 1
2021-01;Mendoza;Entre R¡os;4;9;previaje 1
2021-01;Mendoza;Jujuy;4;14;previaje 1
2021-01;Mendoza;Mendoza;342;1139;previaje 1
2021-01;Mendoza;Misiones;31;86;previaje 1
2021-01;Mendoza;Neuqu‚n;196;729;previaje 1
2021-01;Mendoza;R¡o Negro;321;965;previaje 1
2021-01;Mendoza;Salta;25;63;previaje 1
2021-01;Mendoza;San Juan;20;50;previaje 1
2021-01;Mendoza;San Luis;64;244;previaje 1
2021-01;Mendoza;Santa Cruz;80;210;previaje 1
2021-01;Mendoza;Santa Fe;6;16;previaje 1
2021-01;Mendoza;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;88;223;previaje 1
2021-01;Mendoza;Tucum n;5;12;previaje 1
2021-01;Misiones;Buenos Aires;26;91;previaje 1
2021-01;Misiones;Ciudad Aut¢noma de Buenos Aires;17;29;previaje 1
2021-01;Misiones;C¢rdoba;16;35;previaje 1
2021-01;Misiones;Corrientes;15;38;previaje 1
2021-01;Misiones;Mendoza;18;50;previaje 1
2021-01;Misiones;Misiones;142;442;previaje 1
2021-01;Misiones;Neuqu‚n;8;21;previaje 1
2021-01;Misiones;R¡o Negro;40;122;previaje 1
2021-01;Misiones;Santa Cruz;23;52;previaje 1
2021-01;Misiones;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;14;30;previaje 1
2021-01;Neuqu‚n;Buenos Aires;77;213;previaje 1
2021-01;Neuqu‚n;Chubut;19;61;previaje 1
2021-01;Neuqu‚n;Ciudad Aut¢noma de Buenos Aires;35;80;previaje 1
2021-01;Neuqu‚n;C¢rdoba;24;53;previaje 1
2021-01;Neuqu‚n;Jujuy;3;4;previaje 1
2021-01;Neuqu‚n;Mendoza;20;47;previaje 1
2021-01;Neuqu‚n;Misiones;6;15;previaje 1
2021-01;Neuqu‚n;Neuqu‚n;196;697;previaje 1
2021-01;Neuqu‚n;R¡o Negro;134;452;previaje 1
2021-01;Neuqu‚n;Salta;25;65;previaje 1
2021-01;Neuqu‚n;Santa Cruz;22;66;previaje 1
2021-01;Neuqu‚n;Santa Fe;16;38;previaje 1
2021-01;Neuqu‚n;Santiago del Estero;3;10;previaje 1
2021-01;Neuqu‚n;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;29;67;previaje 1
2021-01;Neuqu‚n;Tucum n;6;12;previaje 1
2021-01;R¡o Negro;Buenos Aires;92;272;previaje 1
2021-01;R¡o Negro;Chubut;35;101;previaje 1
2021-01;R¡o Negro;Ciudad Aut¢noma de Buenos Aires;53;98;previaje 1
2021-01;R¡o Negro;C¢rdoba;26;63;previaje 1
2021-01;R¡o Negro;Corrientes;4;6;previaje 1
2021-01;R¡o Negro;Mendoza;19;55;previaje 1
2021-01;R¡o Negro;Misiones;6;16;previaje 1
2021-01;R¡o Negro;Neuqu‚n;127;439;previaje 1
2021-01;R¡o Negro;R¡o Negro;340;1104;previaje 1
2021-01;R¡o Negro;Salta;9;23;previaje 1
2021-01;R¡o Negro;Santa Cruz;27;65;previaje 1
2021-01;R¡o Negro;Santa Fe;8;24;previaje 1
2021-01;R¡o Negro;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;19;46;previaje 1
2021-01;R¡o Negro;Tucum n;6;12;previaje 1
2021-01;Salta;Buenos Aires;119;338;previaje 1
2021-01;Salta;Chubut;11;22;previaje 1
2021-01;Salta;Ciudad Aut¢noma de Buenos Aires;51;102;previaje 1
2021-01;Salta;C¢rdoba;58;169;previaje 1
2021-01;Salta;Corrientes;18;61;previaje 1
2021-01;Salta;Jujuy;26;70;previaje 1
2021-01;Salta;Mendoza;29;69;previaje 1
2021-01;Salta;Misiones;100;276;previaje 1
2021-01;Salta;Neuqu‚n;44;181;previaje 1
2021-01;Salta;R¡o Negro;112;336;previaje 1
2021-01;Salta;Salta;212;684;previaje 1
2021-01;Salta;Santa Cruz;24;82;previaje 1
2021-01;Salta;Santa Fe;5;10;previaje 1
2021-01;Salta;Santiago del Estero;26;100;previaje 1
2021-01;Salta;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;51;125;previaje 1
2021-01;Salta;Tucum n;5;22;previaje 1
2021-01;San Juan;Buenos Aires;59;139;previaje 1
2021-01;San Juan;Chubut;4;13;previaje 1
2021-01;San Juan;Ciudad Aut¢noma de Buenos Aires;3;3;previaje 1
2021-01;San Juan;C¢rdoba;11;37;previaje 1
2021-01;San Juan;La Rioja;3;11;previaje 1
2021-01;San Juan;Mendoza;3;6;previaje 1
2021-01;San Juan;Misiones;5;12;previaje 1
2021-01;San Juan;Neuqu‚n;9;26;previaje 1
2021-01;San Juan;R¡o Negro;21;61;previaje 1
2021-01;San Juan;San Juan;13;60;previaje 1
2021-01;San Juan;Santa Cruz;5;16;previaje 1
2021-01;San Juan;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;8;21;previaje 1
2021-01;San Luis;Buenos Aires;15;55;previaje 1
2021-01;San Luis;Ciudad Aut¢noma de Buenos Aires;13;19;previaje 1
2021-01;San Luis;C¢rdoba;22;67;previaje 1
2021-01;San Luis;Mendoza;6;13;previaje 1
2021-01;San Luis;Misiones;7;22;previaje 1
2021-01;San Luis;Neuqu‚n;5;13;previaje 1
2021-01;San Luis;R¡o Negro;14;45;previaje 1
2021-01;San Luis;San Luis;61;229;previaje 1
2021-01;San Luis;Santa Cruz;7;19;previaje 1
2021-01;San Luis;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;4;11;previaje 1
2021-01;Santa Cruz;Buenos Aires;48;102;previaje 1
2021-01;Santa Cruz;Chubut;9;47;previaje 1
2021-01;Santa Cruz;Ciudad Aut¢noma de Buenos Aires;25;51;previaje 1
2021-01;Santa Cruz;C¢rdoba;15;43;previaje 1
2021-01;Santa Cruz;Corrientes;3;4;previaje 1
2021-01;Santa Cruz;Jujuy;6;12;previaje 1
2021-01;Santa Cruz;Mendoza;10;21;previaje 1
2021-01;Santa Cruz;Misiones;9;27;previaje 1
2021-01;Santa Cruz;Neuqu‚n;8;30;previaje 1
2021-01;Santa Cruz;R¡o Negro;22;67;previaje 1
2021-01;Santa Cruz;Salta;8;21;previaje 1
2021-01;Santa Cruz;Santa Cruz;51;150;previaje 1
2021-01;Santa Cruz;Santiago del Estero;3;6;previaje 1
2021-01;Santa Cruz;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;26;63;previaje 1
2021-01;Santa Cruz;Tucum n;5;13;previaje 1
2021-01;Santa Fe;Buenos Aires;1019;3449;previaje 1
2021-01;Santa Fe;Catamarca;3;5;previaje 1
2021-01;Santa Fe;Chubut;109;244;previaje 1
2021-01;Santa Fe;Ciudad Aut¢noma de Buenos Aires;31;68;previaje 1
2021-01;Santa Fe;C¢rdoba;1193;4063;previaje 1
2021-01;Santa Fe;Corrientes;17;50;previaje 1
2021-01;Santa Fe;Entre R¡os;116;422;previaje 1
2021-01;Santa Fe;Jujuy;18;58;previaje 1
2021-01;Santa Fe;La Pampa;4;16;previaje 1
2021-01;Santa Fe;La Rioja;3;9;previaje 1
2021-01;Santa Fe;Mendoza;221;674;previaje 1
2021-01;Santa Fe;Misiones;116;320;previaje 1
2021-01;Santa Fe;Neuqu‚n;307;1049;previaje 1
2021-01;Santa Fe;R¡o Negro;1030;3008;previaje 1
2021-01;Santa Fe;Salta;125;326;previaje 1
2021-01;Santa Fe;San Juan;6;23;previaje 1
2021-01;Santa Fe;San Luis;81;255;previaje 1
2021-01;Santa Fe;Santa Cruz;273;767;previaje 1
2021-01;Santa Fe;Santa Fe;105;357;previaje 1
2021-01;Santa Fe;Santiago del Estero;7;20;previaje 1
2021-01;Santa Fe;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;294;765;previaje 1
2021-01;Santa Fe;Tucum n;6;17;previaje 1
2021-01;Santiago del Estero;Buenos Aires;19;50;previaje 1
2021-01;Santiago del Estero;C¢rdoba;18;55;previaje 1
2021-01;Santiago del Estero;Mendoza;3;15;previaje 1
2021-01;Santiago del Estero;Neuqu‚n;3;5;previaje 1
2021-01;Santiago del Estero;R¡o Negro;8;23;previaje 1
2021-01;Santiago del Estero;Salta;5;11;previaje 1
2021-01;Santiago del Estero;San Luis;12;33;previaje 1
2021-01;Santiago del Estero;Santa Cruz;4;18;previaje 1
2021-01;Santiago del Estero;Santiago del Estero;4;11;previaje 1
2021-01;Santiago del Estero;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;5;16;previaje 1
2021-01;Santiago del Estero;Tucum n;6;23;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Buenos Aires;104;274;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Chaco;18;47;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Chubut;17;49;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Ciudad Aut¢noma de Buenos Aires;56;108;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;C¢rdoba;55;134;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Entre R¡os;13;35;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Jujuy;6;18;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Mendoza;15;44;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Misiones;21;47;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Neuqu‚n;8;20;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;R¡o Negro;11;29;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Salta;25;63;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;San Juan;4;6;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Santa Cruz;36;97;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Santa Fe;12;31;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;39;115;previaje 1
2021-01;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;Tucum n;18;47;previaje 1
2021-01;Tucum n;Buenos Aires;257;818;previaje 1
2021-01;Tucum n;Chubut;16;35;previaje 1
2021-01;Tucum n;Ciudad Aut¢noma de Buenos Aires;58;118;previaje 1
2021-01;Tucum n;C¢rdoba;101;287;previaje 1
2021-01;Tucum n;Entre R¡os;3;15;previaje 1
2021-01;Tucum n;Jujuy;25;68;previaje 1
2021-01;Tucum n;Mendoza;13;27;previaje 1
2021-01;Tucum n;Misiones;21;55;previaje 1
2021-01;Tucum n;Neuqu‚n;15;46;previaje 1
2021-01;Tucum n;R¡o Negro;170;558;previaje 1
2021-01;Tucum n;Salta;91;326;previaje 1
2021-01;Tucum n;Santa Cruz;39;88;previaje 1
2021-01;Tucum n;Santa Fe;3;4;previaje 1
2021-01;Tucum n;Santiago del Estero;6;20;previaje 1
2021-01;Tucum n;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;38;109;previaje 1
2021-01;Tucum n;Tucum n;93;361;previaje 1
2021-02;Buenos Aires;Buenos Aires;3365;10599;previaje 1
2021-02;Buenos Aires;Catamarca;16;35;previaje 1
2021-02;Buenos Aires;Chaco;10;27;previaje 1
2021-02;Buenos Aires;Chubut;264;704;previaje 1
2021-02;Buenos Aires;Ciudad Aut¢noma de Buenos Aires;85;190;previaje 1
2021-02;Buenos Aires;C¢rdoba;1430;4313;previaje 1
2021-02;Buenos Aires;Corrientes;37;113;previaje 1
2021-02;Buenos Aires;Entre R¡os;337;1129;previaje 1
2021-02;Buenos Aires;Formosa;4;7;previaje 1
2021-02;Buenos Aires;Jujuy;241;626;previaje 1
2021-02;Buenos Aires;La Pampa;13;37;previaje 1
2021-02;Buenos Aires;La Rioja;5;8;previaje 1
2021-02;Buenos Aires;Mendoza;1620;4333;previaje 1
2021-02;Buenos Aires;Misiones;953;2692;previaje 1
2021-02;Buenos Aires;Neuqu‚n;872;2646;previaje 1
2021-02;Buenos Aires;R¡o Negro;2960;8186;previaje 1
2021-02;Buenos Aires;Salta;633;1641;previaje 1
2021-02;Buenos Aires;San Juan;40;95;previaje 1
2021-02;Buenos Aires;San Luis;461;1322;previaje 1
2021-02;Buenos Aires;Santa Cruz;972;2516;previaje 1
2021-02;Buenos Aires;Santa Fe;47;129;previaje 1
2021-02;Buenos Aires;Santiago del Estero;57;183;previaje 1
2021-02;Buenos Aires;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;968;2641;previaje 1
2021-02;Buenos Aires;Tucum n;83;215;previaje 1
2021-02;Catamarca;Buenos Aires;6;19;previaje 1
2021-02;Catamarca;Catamarca;3;6;previaje 1
2021-02;Catamarca;C¢rdoba;7;28;previaje 1
2021-02;Catamarca;R¡o Negro;8;29;previaje 1
2021-02;Catamarca;Salta;3;8;previaje 1
2021-02;Catamarca;Tierra del Fuego, Ant rtida e Islas del Atl ntico Sur;3;9;previaje 1
2021-02;Chaco;Buenos Aires;19;53;previaje 1
2021-02;Chaco;Chaco;3;6;previaje 1
2021-02;Chaco;Ciudad Aut¢noma de Buenos Aires;20;43;previaje 1
2021-02;Chaco;C¢rdoba;45;146;previaje 1
2021-02;Chaco;Corrientes;11;31;previaje 1
2021-02;Chaco;Entre R¡os;14;55;previaje 1
